"","Escolaridade_pai","Escolaridade_mãe","Renda","Auxílio","Escola","Dificuldade"
"847","2","1","1","2","1","0"
"2586","1","3","1","2","1","1"
"4443","3","3","3","2","1","1"
"1211","3","2","2","2","2","1"
"5084","1","1","2","2","1","1"
"1738","3","2","3","2","2","0"
"853","1","1","2","2","1","1"
"2237","1","2","1","2","1","1"
"4707","1","3","1","2","2","0"
"2346","2","3","2","2","2","0"
"849","1","2","2","2","1","1"
"120","3","3","3","2","2","1"
"5450","1","1","1","2","1","1"
"1231","2","2","1","2","1","1"
"3049","1","3","3","2","2","1"
"514","2","3","3","2","2","0"
"938","1","1","1","2","1","0"
"4273","3","3","3","2","2","1"
"1226","3","3","3","2","2","1"
"1821","1","2","2","2","1","1"
"641","3","3","3","2","2","0"
"5146","1","2","1","2","1","0"
"1852","1","2","1","2","2","1"
"1248","3","3","2","2","2","1"
"4617","3","2","2","2","1","1"
"3876","1","2","1","1","1","1"
"2196","1","1","2","2","1","0"
"3624","3","3","3","2","1","1"
"4333","3","3","2","2","2","1"
"3923","1","3","1","1","1","1"
"1842","3","2","1","2","1","1"
"4930","2","1","2","1","1","1"
"4655","2","2","3","2","2","0"
"5063","2","2","2","2","1","1"
"1331","3","3","3","2","2","1"
"2812","3","3","2","2","2","1"
"531","1","1","3","2","1","1"
"2079","2","3","3","2","1","0"
"5316","1","3","2","2","1","1"
"2499","1","2","2","2","1","1"
"679","3","2","3","1","1","1"
"3200","1","1","1","2","2","1"
"5467","2","2","1","2","1","0"
"481","2","1","2","2","1","1"
"3131","3","2","2","2","2","1"
"2747","1","2","1","2","2","1"
"5417","1","1","1","2","1","1"
"1004","1","2","1","2","1","1"
"1266","3","3","2","2","2","1"
"2519","2","2","2","2","2","1"
"4207","3","3","3","2","2","1"
"4912","3","3","2","2","2","0"
"3186","1","1","1","2","1","1"
"2470","1","1","1","1","1","0"
"2933","1","3","2","2","1","1"
"4101","2","2","2","1","1","1"
"4898","3","3","3","2","1","0"
"3509","2","1","1","1","1","1"
"3372","3","3","3","2","2","0"
"2247","1","1","1","1","2","1"
"5500","1","1","2","2","1","1"
"3408","1","2","2","2","1","1"
"2246","2","2","1","1","2","1"
"2265","2","2","2","2","1","1"
"1082","3","3","1","2","1","1"
"4758","3","2","3","2","2","0"
"3239","2","2","2","2","1","1"
"2257","2","2","3","2","2","1"
"3167","1","1","1","2","1","0"
"1135","1","1","1","2","1","1"
"1154","3","3","3","2","2","1"
"194","1","1","3","2","1","0"
"3918","1","2","1","1","1","1"
"5448","2","2","2","2","1","1"
"5016","1","2","1","2","1","1"
"2755","3","2","1","2","1","0"
"2267","2","2","1","2","1","1"
"4945","3","3","1","2","2","1"
"3132","3","1","3","2","1","1"
"5291","1","1","1","2","1","1"
